Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Disease
heartburn,regurgitation,dry cough,bitter taste,chest pain,trouble swallowing,Acid Reflux
bloating,vomiting,nausea,indigestion,loss of appetite,stomach pain,Gastritis
pain after eating,abdominal pain,shoulder pain,nausea,vomiting,indigestion,Gallstones
bloating,stomach pain,nausea,cramps,diarrhea,gas,Lactose Intolerance
pain after eating,abdominal pain,nausea,vomiting,shoulder pain,indigestion,Gallstones
constipation,diarrhea,bloating,mucus in stool,gas,abdominal pain,Irritable Bowel Syndrome
stomach pain,cramps,nausea,bloating,gas,diarrhea,Lactose Intolerance
indigestion,heartburn,burning stomach pain,bloating,weight loss,nausea,Peptic Ulcer
stomach cramps,vomiting,diarrhea,nausea,dehydration,fever,Food Poisoning
bitter taste,dry cough,chest pain,regurgitation,heartburn,trouble swallowing,Acid Reflux
vomiting,stomach pain,indigestion,nausea,bloating,loss of appetite,Gastritis
chest pain,trouble swallowing,dry cough,bitter taste,regurgitation,heartburn,Acid Reflux
bloating,hard stools,incomplete evacuation,abdominal pain,infrequent stools,straining,Constipation
nausea,shoulder pain,indigestion,vomiting,pain after eating,abdominal pain,Gallstones
straining,hard stools,incomplete evacuation,bloating,infrequent stools,abdominal pain,Constipation
nausea,unexplained weight loss,indigestion,persistent pain,vomiting blood,loss of appetite,Stomach Cancer
regurgitation,heartburn,chest pain,bitter taste,trouble swallowing,dry cough,Acid Reflux
nausea,vomiting blood,persistent pain,loss of appetite,indigestion,unexplained weight loss,Stomach Cancer
fever,stomach cramps,diarrhea,vomiting,dehydration,nausea,Food Poisoning
persistent pain,unexplained weight loss,vomiting blood,loss of appetite,nausea,indigestion,Stomach Cancer
gas,cramps,stomach pain,bloating,diarrhea,nausea,Lactose Intolerance
fever,vomiting,upper abdominal pain,nausea,rapid pulse,swollen abdomen,Pancreatitis
stomach pain,gas,bloating,nausea,cramps,diarrhea,Lactose Intolerance
weight loss,burning stomach pain,bloating,heartburn,nausea,indigestion,Peptic Ulcer
persistent pain,vomiting blood,loss of appetite,unexplained weight loss,indigestion,nausea,Stomach Cancer
loss of appetite,indigestion,bloating,vomiting,stomach pain,nausea,Gastritis
nausea,pain after eating,abdominal pain,vomiting,shoulder pain,indigestion,Gallstones
indigestion,weight loss,heartburn,burning stomach pain,bloating,nausea,Peptic Ulcer
diarrhea,abdominal pain,mucus in stool,bloating,gas,constipation,Irritable Bowel Syndrome
vomiting,shoulder pain,pain after eating,abdominal pain,indigestion,nausea,Gallstones
nausea,diarrhea,bloating,stomach pain,gas,cramps,Lactose Intolerance
gas,diarrhea,stomach pain,cramps,bloating,nausea,Lactose Intolerance
burning stomach pain,heartburn,nausea,bloating,indigestion,weight loss,Peptic Ulcer
gas,mucus in stool,bloating,abdominal pain,diarrhea,constipation,Irritable Bowel Syndrome
constipation,gas,abdominal pain,mucus in stool,bloating,diarrhea,Irritable Bowel Syndrome
bloating,nausea,heartburn,indigestion,weight loss,burning stomach pain,Peptic Ulcer
heartburn,trouble swallowing,regurgitation,dry cough,chest pain,bitter taste,Acid Reflux
bloating,gas,diarrhea,constipation,abdominal pain,mucus in stool,Irritable Bowel Syndrome
bloating,mucus in stool,abdominal pain,constipation,diarrhea,gas,Irritable Bowel Syndrome
abdominal pain,hard stools,bloating,incomplete evacuation,straining,infrequent stools,Constipation
trouble swallowing,regurgitation,dry cough,heartburn,bitter taste,chest pain,Acid Reflux
diarrhea,gas,cramps,nausea,bloating,stomach pain,Lactose Intolerance
bloating,abdominal pain,hard stools,straining,incomplete evacuation,infrequent stools,Constipation
heartburn,trouble swallowing,chest pain,bitter taste,dry cough,regurgitation,Acid Reflux
fever,rapid pulse,upper abdominal pain,vomiting,nausea,swollen abdomen,Pancreatitis
stomach pain,diarrhea,nausea,gas,bloating,cramps,Lactose Intolerance
vomiting,loss of appetite,nausea,indigestion,bloating,stomach pain,Gastritis
pain after eating,shoulder pain,nausea,abdominal pain,indigestion,vomiting,Gallstones
abdominal pain,nausea,shoulder pain,indigestion,pain after eating,vomiting,Gallstones
indigestion,persistent pain,unexplained weight loss,vomiting blood,nausea,loss of appetite,Stomach Cancer
vomiting,diarrhea,stomach cramps,nausea,fever,dehydration,Food Poisoning
indigestion,stomach pain,bloating,loss of appetite,vomiting,nausea,Gastritis
chest pain,bitter taste,dry cough,regurgitation,heartburn,trouble swallowing,Acid Reflux
loss of appetite,persistent pain,indigestion,unexplained weight loss,vomiting blood,nausea,Stomach Cancer
burning stomach pain,nausea,indigestion,weight loss,bloating,heartburn,Peptic Ulcer
bloating,gas,diarrhea,nausea,stomach pain,cramps,Lactose Intolerance
weight loss,heartburn,nausea,bloating,indigestion,burning stomach pain,Peptic Ulcer
bloating,burning stomach pain,nausea,heartburn,weight loss,indigestion,Peptic Ulcer
regurgitation,trouble swallowing,bitter taste,chest pain,dry cough,heartburn,Acid Reflux
incomplete evacuation,hard stools,infrequent stools,bloating,abdominal pain,straining,Constipation
nausea,shoulder pain,indigestion,abdominal pain,pain after eating,vomiting,Gallstones
burning stomach pain,indigestion,bloating,weight loss,nausea,heartburn,Peptic Ulcer
hard stools,infrequent stools,straining,bloating,incomplete evacuation,abdominal pain,Constipation
upper abdominal pain,swollen abdomen,vomiting,rapid pulse,nausea,fever,Pancreatitis
diarrhea,stomach pain,bloating,nausea,gas,cramps,Lactose Intolerance
stomach pain,nausea,bloating,vomiting,loss of appetite,indigestion,Gastritis
burning stomach pain,nausea,heartburn,indigestion,weight loss,bloating,Peptic Ulcer
upper abdominal pain,fever,rapid pulse,vomiting,nausea,swollen abdomen,Pancreatitis
hard stools,infrequent stools,abdominal pain,bloating,incomplete evacuation,straining,Constipation
loss of appetite,nausea,vomiting blood,unexplained weight loss,indigestion,persistent pain,Stomach Cancer
vomiting,shoulder pain,pain after eating,abdominal pain,indigestion,nausea,Gallstones
cramps,nausea,stomach pain,bloating,gas,diarrhea,Lactose Intolerance
diarrhea,nausea,vomiting,fever,dehydration,stomach cramps,Food Poisoning
abdominal pain,bloating,gas,mucus in stool,constipation,diarrhea,Irritable Bowel Syndrome
mucus in stool,constipation,diarrhea,gas,bloating,abdominal pain,Irritable Bowel Syndrome
abdominal pain,shoulder pain,indigestion,pain after eating,vomiting,nausea,Gallstones
nausea,vomiting,stomach cramps,dehydration,diarrhea,fever,Food Poisoning
diarrhea,constipation,mucus in stool,bloating,abdominal pain,gas,Irritable Bowel Syndrome
mucus in stool,constipation,gas,diarrhea,abdominal pain,bloating,Irritable Bowel Syndrome
vomiting,swollen abdomen,upper abdominal pain,fever,rapid pulse,nausea,Pancreatitis
persistent pain,loss of appetite,unexplained weight loss,indigestion,nausea,vomiting blood,Stomach Cancer
infrequent stools,hard stools,abdominal pain,incomplete evacuation,bloating,straining,Constipation
nausea,rapid pulse,vomiting,upper abdominal pain,fever,swollen abdomen,Pancreatitis
burning stomach pain,bloating,indigestion,heartburn,weight loss,nausea,Peptic Ulcer
bloating,heartburn,weight loss,indigestion,nausea,burning stomach pain,Peptic Ulcer
nausea,indigestion,loss of appetite,persistent pain,unexplained weight loss,vomiting blood,Stomach Cancer
fever,swollen abdomen,vomiting,rapid pulse,upper abdominal pain,nausea,Pancreatitis
burning stomach pain,heartburn,indigestion,nausea,bloating,weight loss,Peptic Ulcer
pain after eating,indigestion,shoulder pain,abdominal pain,nausea,vomiting,Gallstones
infrequent stools,hard stools,bloating,incomplete evacuation,straining,abdominal pain,Constipation
persistent pain,indigestion,vomiting blood,loss of appetite,unexplained weight loss,nausea,Stomach Cancer
vomiting,loss of appetite,nausea,bloating,stomach pain,indigestion,Gastritis
bloating,weight loss,burning stomach pain,heartburn,indigestion,nausea,Peptic Ulcer
constipation,mucus in stool,abdominal pain,diarrhea,gas,bloating,Irritable Bowel Syndrome
upper abdominal pain,vomiting,nausea,fever,rapid pulse,swollen abdomen,Pancreatitis
diarrhea,nausea,bloating,cramps,gas,stomach pain,Lactose Intolerance
persistent pain,nausea,loss of appetite,vomiting blood,indigestion,unexplained weight loss,Stomach Cancer
nausea,loss of appetite,unexplained weight loss,vomiting blood,indigestion,persistent pain,Stomach Cancer
loss of appetite,vomiting,bloating,nausea,stomach pain,indigestion,Gastritis
indigestion,vomiting blood,loss of appetite,nausea,persistent pain,unexplained weight loss,Stomach Cancer
heartburn,indigestion,weight loss,nausea,burning stomach pain,bloating,Peptic Ulcer
nausea,cramps,stomach pain,diarrhea,gas,bloating,Lactose Intolerance
stomach pain,vomiting,loss of appetite,nausea,indigestion,bloating,Gastritis
diarrhea,fever,nausea,stomach cramps,dehydration,vomiting,Food Poisoning
vomiting,dehydration,nausea,stomach cramps,diarrhea,fever,Food Poisoning
fever,dehydration,nausea,vomiting,stomach cramps,diarrhea,Food Poisoning
vomiting,indigestion,stomach pain,bloating,nausea,loss of appetite,Gastritis
upper abdominal pain,swollen abdomen,rapid pulse,vomiting,nausea,fever,Pancreatitis
nausea,stomach cramps,diarrhea,fever,dehydration,vomiting,Food Poisoning
abdominal pain,gas,mucus in stool,diarrhea,bloating,constipation,Irritable Bowel Syndrome
loss of appetite,stomach pain,nausea,vomiting,indigestion,bloating,Gastritis
constipation,mucus in stool,gas,bloating,abdominal pain,diarrhea,Irritable Bowel Syndrome
vomiting,dehydration,nausea,diarrhea,fever,stomach cramps,Food Poisoning
fever,vomiting,swollen abdomen,upper abdominal pain,nausea,rapid pulse,Pancreatitis
bloating,stomach pain,cramps,gas,nausea,diarrhea,Lactose Intolerance
stomach pain,loss of appetite,vomiting,indigestion,bloating,nausea,Gastritis
bloating,nausea,burning stomach pain,indigestion,weight loss,heartburn,Peptic Ulcer
dehydration,diarrhea,vomiting,nausea,fever,stomach cramps,Food Poisoning
vomiting,nausea,stomach cramps,fever,diarrhea,dehydration,Food Poisoning
vomiting,upper abdominal pain,nausea,rapid pulse,swollen abdomen,fever,Pancreatitis
bloating,gas,diarrhea,cramps,nausea,stomach pain,Lactose Intolerance
swollen abdomen,fever,rapid pulse,nausea,upper abdominal pain,vomiting,Pancreatitis
nausea,loss of appetite,vomiting blood,persistent pain,unexplained weight loss,indigestion,Stomach Cancer
bloating,diarrhea,nausea,stomach pain,cramps,gas,Lactose Intolerance
vomiting,loss of appetite,stomach pain,nausea,bloating,indigestion,Gastritis
fever,swollen abdomen,vomiting,rapid pulse,nausea,upper abdominal pain,Pancreatitis
heartburn,regurgitation,dry cough,trouble swallowing,chest pain,bitter taste,Acid Reflux
straining,abdominal pain,incomplete evacuation,bloating,hard stools,infrequent stools,Constipation
unexplained weight loss,vomiting blood,persistent pain,loss of appetite,indigestion,nausea,Stomach Cancer
diarrhea,constipation,bloating,gas,mucus in stool,abdominal pain,Irritable Bowel Syndrome
dehydration,nausea,vomiting,diarrhea,fever,stomach cramps,Food Poisoning
infrequent stools,abdominal pain,hard stools,incomplete evacuation,straining,bloating,Constipation
pain after eating,vomiting,shoulder pain,abdominal pain,indigestion,nausea,Gallstones
bitter taste,heartburn,trouble swallowing,chest pain,dry cough,regurgitation,Acid Reflux
weight loss,indigestion,bloating,nausea,burning stomach pain,heartburn,Peptic Ulcer
abdominal pain,infrequent stools,hard stools,incomplete evacuation,straining,bloating,Constipation
weight loss,burning stomach pain,nausea,bloating,heartburn,indigestion,Peptic Ulcer
heartburn,bloating,weight loss,indigestion,burning stomach pain,nausea,Peptic Ulcer
stomach pain,gas,cramps,nausea,bloating,diarrhea,Lactose Intolerance
nausea,stomach pain,bloating,indigestion,vomiting,loss of appetite,Gastritis
swollen abdomen,vomiting,rapid pulse,upper abdominal pain,nausea,fever,Pancreatitis
dry cough,chest pain,regurgitation,bitter taste,heartburn,trouble swallowing,Acid Reflux
cramps,diarrhea,gas,stomach pain,nausea,bloating,Lactose Intolerance
vomiting,swollen abdomen,fever,upper abdominal pain,rapid pulse,nausea,Pancreatitis
fever,diarrhea,vomiting,stomach cramps,nausea,dehydration,Food Poisoning
stomach cramps,dehydration,fever,diarrhea,nausea,vomiting,Food Poisoning
unexplained weight loss,nausea,indigestion,loss of appetite,vomiting blood,persistent pain,Stomach Cancer
dehydration,fever,stomach cramps,vomiting,diarrhea,nausea,Food Poisoning
nausea,pain after eating,shoulder pain,vomiting,indigestion,abdominal pain,Gallstones
heartburn,dry cough,regurgitation,chest pain,bitter taste,trouble swallowing,Acid Reflux
heartburn,bloating,burning stomach pain,indigestion,nausea,weight loss,Peptic Ulcer
gas,bloating,nausea,cramps,diarrhea,stomach pain,Lactose Intolerance
abdominal pain,constipation,gas,mucus in stool,diarrhea,bloating,Irritable Bowel Syndrome
gas,mucus in stool,constipation,diarrhea,bloating,abdominal pain,Irritable Bowel Syndrome
stomach cramps,nausea,dehydration,vomiting,fever,diarrhea,Food Poisoning
swollen abdomen,nausea,rapid pulse,fever,upper abdominal pain,vomiting,Pancreatitis
stomach pain,nausea,diarrhea,gas,bloating,cramps,Lactose Intolerance
nausea,indigestion,vomiting,shoulder pain,pain after eating,abdominal pain,Gallstones
bloating,stomach pain,nausea,loss of appetite,indigestion,vomiting,Gastritis
nausea,vomiting blood,loss of appetite,unexplained weight loss,indigestion,persistent pain,Stomach Cancer
gas,bloating,cramps,nausea,stomach pain,diarrhea,Lactose Intolerance
shoulder pain,vomiting,nausea,indigestion,pain after eating,abdominal pain,Gallstones
mucus in stool,gas,abdominal pain,diarrhea,bloating,constipation,Irritable Bowel Syndrome
nausea,dehydration,stomach cramps,diarrhea,vomiting,fever,Food Poisoning
bloating,incomplete evacuation,straining,infrequent stools,abdominal pain,hard stools,Constipation
nausea,gas,bloating,diarrhea,stomach pain,cramps,Lactose Intolerance
gas,stomach pain,nausea,diarrhea,cramps,bloating,Lactose Intolerance
upper abdominal pain,fever,nausea,swollen abdomen,rapid pulse,vomiting,Pancreatitis
heartburn,dry cough,chest pain,regurgitation,bitter taste,trouble swallowing,Acid Reflux
weight loss,heartburn,nausea,bloating,burning stomach pain,indigestion,Peptic Ulcer
shoulder pain,abdominal pain,pain after eating,indigestion,vomiting,nausea,Gallstones
bloating,loss of appetite,vomiting,nausea,indigestion,stomach pain,Gastritis
diarrhea,bloating,cramps,nausea,gas,stomach pain,Lactose Intolerance
vomiting,abdominal pain,pain after eating,indigestion,nausea,shoulder pain,Gallstones
vomiting,nausea,fever,upper abdominal pain,rapid pulse,swollen abdomen,Pancreatitis
dehydration,fever,vomiting,diarrhea,stomach cramps,nausea,Food Poisoning
loss of appetite,persistent pain,unexplained weight loss,vomiting blood,indigestion,nausea,Stomach Cancer
vomiting,nausea,dehydration,fever,stomach cramps,diarrhea,Food Poisoning
loss of appetite,stomach pain,bloating,vomiting,indigestion,nausea,Gastritis
fever,dehydration,nausea,stomach cramps,diarrhea,vomiting,Food Poisoning
incomplete evacuation,infrequent stools,straining,abdominal pain,bloating,hard stools,Constipation
straining,hard stools,bloating,infrequent stools,abdominal pain,incomplete evacuation,Constipation
bloating,constipation,abdominal pain,diarrhea,mucus in stool,gas,Irritable Bowel Syndrome
stomach pain,bloating,indigestion,loss of appetite,vomiting,nausea,Gastritis
upper abdominal pain,nausea,rapid pulse,swollen abdomen,vomiting,fever,Pancreatitis
bloating,infrequent stools,incomplete evacuation,straining,hard stools,abdominal pain,Constipation
stomach pain,cramps,diarrhea,nausea,gas,bloating,Lactose Intolerance
burning stomach pain,nausea,weight loss,indigestion,heartburn,bloating,Peptic Ulcer
upper abdominal pain,rapid pulse,vomiting,fever,nausea,swollen abdomen,Pancreatitis
heartburn,bitter taste,chest pain,trouble swallowing,regurgitation,dry cough,Acid Reflux
mucus in stool,bloating,gas,abdominal pain,diarrhea,constipation,Irritable Bowel Syndrome
dry cough,trouble swallowing,chest pain,regurgitation,bitter taste,heartburn,Acid Reflux
swollen abdomen,nausea,vomiting,rapid pulse,upper abdominal pain,fever,Pancreatitis
bloating,stomach pain,loss of appetite,vomiting,indigestion,nausea,Gastritis
cramps,nausea,bloating,gas,stomach pain,diarrhea,Lactose Intolerance
rapid pulse,upper abdominal pain,swollen abdomen,vomiting,nausea,fever,Pancreatitis
nausea,indigestion,weight loss,heartburn,bloating,burning stomach pain,Peptic Ulcer
swollen abdomen,nausea,vomiting,rapid pulse,upper abdominal pain,fever,Pancreatitis
vomiting,nausea,fever,stomach cramps,diarrhea,dehydration,Food Poisoning
diarrhea,gas,mucus in stool,bloating,abdominal pain,constipation,Irritable Bowel Syndrome
vomiting,stomach cramps,diarrhea,nausea,dehydration,fever,Food Poisoning
cramps,gas,stomach pain,bloating,diarrhea,nausea,Lactose Intolerance
diarrhea,vomiting,dehydration,nausea,fever,stomach cramps,Food Poisoning
fever,nausea,vomiting,upper abdominal pain,swollen abdomen,rapid pulse,Pancreatitis
vomiting,dehydration,fever,stomach cramps,nausea,diarrhea,Food Poisoning
stomach pain,vomiting,bloating,nausea,indigestion,loss of appetite,Gastritis
cramps,diarrhea,gas,nausea,stomach pain,bloating,Lactose Intolerance
weight loss,bloating,heartburn,indigestion,burning stomach pain,nausea,Peptic Ulcer
stomach cramps,nausea,dehydration,fever,diarrhea,vomiting,Food Poisoning
gas,nausea,cramps,stomach pain,bloating,diarrhea,Lactose Intolerance
swollen abdomen,nausea,vomiting,rapid pulse,upper abdominal pain,fever,Pancreatitis
bloating,heartburn,nausea,indigestion,burning stomach pain,weight loss,Peptic Ulcer
heartburn,bloating,indigestion,burning stomach pain,weight loss,nausea,Peptic Ulcer
bloating,diarrhea,cramps,stomach pain,nausea,gas,Lactose Intolerance
indigestion,vomiting,pain after eating,shoulder pain,abdominal pain,nausea,Gallstones
gas,cramps,bloating,nausea,stomach pain,diarrhea,Lactose Intolerance
trouble swallowing,regurgitation,dry cough,chest pain,bitter taste,heartburn,Acid Reflux
heartburn,indigestion,nausea,burning stomach pain,bloating,weight loss,Peptic Ulcer
upper abdominal pain,fever,vomiting,rapid pulse,nausea,swollen abdomen,Pancreatitis
cramps,stomach pain,nausea,bloating,diarrhea,gas,Lactose Intolerance
abdominal pain,incomplete evacuation,hard stools,bloating,straining,infrequent stools,Constipation
fever,diarrhea,nausea,dehydration,stomach cramps,vomiting,Food Poisoning
bloating,abdominal pain,hard stools,infrequent stools,incomplete evacuation,straining,Constipation
cramps,diarrhea,bloating,stomach pain,nausea,gas,Lactose Intolerance
bloating,indigestion,nausea,loss of appetite,vomiting,stomach pain,Gastritis
bloating,indigestion,weight loss,heartburn,burning stomach pain,nausea,Peptic Ulcer
chest pain,bitter taste,heartburn,trouble swallowing,regurgitation,dry cough,Acid Reflux
stomach pain,diarrhea,gas,bloating,cramps,nausea,Lactose Intolerance
nausea,upper abdominal pain,vomiting,rapid pulse,fever,swollen abdomen,Pancreatitis
indigestion,weight loss,heartburn,burning stomach pain,bloating,nausea,Peptic Ulcer
incomplete evacuation,abdominal pain,bloating,hard stools,infrequent stools,straining,Constipation
regurgitation,chest pain,bitter taste,heartburn,dry cough,trouble swallowing,Acid Reflux
bloating,nausea,loss of appetite,indigestion,stomach pain,vomiting,Gastritis
nausea,loss of appetite,stomach pain,bloating,vomiting,indigestion,Gastritis
nausea,fever,stomach cramps,dehydration,diarrhea,vomiting,Food Poisoning
burning stomach pain,indigestion,nausea,heartburn,weight loss,bloating,Peptic Ulcer
fever,swollen abdomen,rapid pulse,vomiting,nausea,upper abdominal pain,Pancreatitis
abdominal pain,diarrhea,mucus in stool,constipation,gas,bloating,Irritable Bowel Syndrome
loss of appetite,stomach pain,bloating,indigestion,nausea,vomiting,Gastritis
swollen abdomen,vomiting,nausea,rapid pulse,upper abdominal pain,fever,Pancreatitis
incomplete evacuation,hard stools,abdominal pain,straining,bloating,infrequent stools,Constipation
abdominal pain,bloating,gas,diarrhea,mucus in stool,constipation,Irritable Bowel Syndrome
dry cough,heartburn,chest pain,regurgitation,trouble swallowing,bitter taste,Acid Reflux
gas,diarrhea,cramps,bloating,stomach pain,nausea,Lactose Intolerance
bloating,nausea,loss of appetite,vomiting,stomach pain,indigestion,Gastritis
gas,nausea,diarrhea,stomach pain,cramps,bloating,Lactose Intolerance
shoulder pain,nausea,pain after eating,abdominal pain,vomiting,indigestion,Gallstones
mucus in stool,diarrhea,gas,abdominal pain,bloating,constipation,Irritable Bowel Syndrome
nausea,fever,stomach cramps,vomiting,dehydration,diarrhea,Food Poisoning
chest pain,dry cough,heartburn,regurgitation,trouble swallowing,bitter taste,Acid Reflux
dehydration,vomiting,stomach cramps,nausea,diarrhea,fever,Food Poisoning
infrequent stools,abdominal pain,straining,bloating,incomplete evacuation,hard stools,Constipation
diarrhea,vomiting,dehydration,nausea,stomach cramps,fever,Food Poisoning
dehydration,stomach cramps,fever,diarrhea,nausea,vomiting,Food Poisoning
nausea,vomiting,indigestion,loss of appetite,bloating,stomach pain,Gastritis
indigestion,weight loss,nausea,burning stomach pain,bloating,heartburn,Peptic Ulcer
incomplete evacuation,abdominal pain,hard stools,bloating,straining,infrequent stools,Constipation
nausea,indigestion,bloating,heartburn,weight loss,burning stomach pain,Peptic Ulcer
upper abdominal pain,swollen abdomen,rapid pulse,nausea,fever,vomiting,Pancreatitis
cramps,nausea,stomach pain,diarrhea,gas,bloating,Lactose Intolerance
rapid pulse,fever,upper abdominal pain,nausea,vomiting,swollen abdomen,Pancreatitis
rapid pulse,upper abdominal pain,vomiting,swollen abdomen,nausea,fever,Pancreatitis
diarrhea,dehydration,vomiting,stomach cramps,fever,nausea,Food Poisoning
nausea,stomach pain,bloating,indigestion,loss of appetite,vomiting,Gastritis
dehydration,vomiting,fever,nausea,diarrhea,stomach cramps,Food Poisoning
stomach pain,vomiting,indigestion,nausea,loss of appetite,bloating,Gastritis
diarrhea,bloating,abdominal pain,mucus in stool,constipation,gas,Irritable Bowel Syndrome
straining,infrequent stools,incomplete evacuation,abdominal pain,hard stools,bloating,Constipation
indigestion,burning stomach pain,nausea,bloating,heartburn,weight loss,Peptic Ulcer
abdominal pain,hard stools,bloating,incomplete evacuation,straining,infrequent stools,Constipation
stomach cramps,dehydration,nausea,fever,diarrhea,vomiting,Food Poisoning
chest pain,regurgitation,heartburn,dry cough,trouble swallowing,bitter taste,Acid Reflux
abdominal pain,mucus in stool,diarrhea,constipation,bloating,gas,Irritable Bowel Syndrome
straining,hard stools,abdominal pain,incomplete evacuation,infrequent stools,bloating,Constipation
pain after eating,shoulder pain,nausea,vomiting,indigestion,abdominal pain,Gallstones
trouble swallowing,bitter taste,heartburn,dry cough,chest pain,regurgitation,Acid Reflux
cramps,bloating,diarrhea,nausea,gas,stomach pain,Lactose Intolerance
bloating,mucus in stool,gas,constipation,abdominal pain,diarrhea,Irritable Bowel Syndrome
incomplete evacuation,hard stools,infrequent stools,abdominal pain,straining,bloating,Constipation
loss of appetite,persistent pain,vomiting blood,unexplained weight loss,indigestion,nausea,Stomach Cancer
upper abdominal pain,swollen abdomen,rapid pulse,vomiting,nausea,fever,Pancreatitis
loss of appetite,indigestion,nausea,persistent pain,vomiting blood,unexplained weight loss,Stomach Cancer
burning stomach pain,heartburn,indigestion,weight loss,bloating,nausea,Peptic Ulcer
nausea,indigestion,stomach pain,vomiting,loss of appetite,bloating,Gastritis
stomach pain,loss of appetite,indigestion,vomiting,nausea,bloating,Gastritis
